time,value
2009-01-01,3.763
2009-02-01,3.7969999999999997
2009-03-01,3.658
2009-04-01,3.7710000000000004
2009-05-01,3.853
2009-06-01,3.9560000000000004
2009-07-01,3.764
2009-08-01,3.609
2009-09-01,3.58
2009-10-01,3.533
2009-11-01,3.52
2009-12-01,3.438
2010-01-01,3.467
2010-02-01,3.3560000000000003
2010-03-01,3.3680000000000003
2010-04-01,3.321
2010-05-01,3.0180000000000002
2010-06-01,2.8989999999999996
2010-07-01,2.853
2010-08-01,2.5580000000000003
2010-09-01,2.524
2010-10-01,2.577
2010-11-01,2.785
2010-12-01,3.155
2011-01-01,3.228
2011-02-01,3.408
2011-03-01,3.423
2011-04-01,3.647
2011-05-01,3.403
2011-06-01,3.284
2011-07-01,3.1719999999999997
2011-08-01,2.678
2011-09-01,2.336
2011-10-01,2.464
2011-11-01,2.4459999999999997
2011-12-01,2.376
2012-01-01,2.197
2012-02-01,2.2359999999999998
2012-03-01,2.249
2012-04-01,2.293
2012-05-01,1.974
2012-06-01,1.926
2012-07-01,1.7469999999999999
2012-08-01,1.757
2012-09-01,1.844
2012-10-01,1.767
2012-11-01,1.65
2012-12-01,1.5619999999999998
2013-01-01,1.7269999999999999
2013-02-01,1.827
2013-03-01,1.665
2013-04-01,1.661
2013-05-01,1.686
2013-06-01,2.0
2013-07-01,2.032
2013-08-01,2.1959999999999997
2013-09-01,2.322
2013-10-01,2.177
2013-11-01,2.056
2013-12-01,2.158
2014-01-01,2.0980000000000003
2014-02-01,1.891
2014-03-01,1.81
2014-04-01,1.8459999999999999
2014-05-01,1.709
2014-06-01,1.598
2014-07-01,1.4069999999999998
2014-08-01,1.2
2014-09-01,1.1540000000000001
2014-10-01,1.032
2014-11-01,0.934
2014-12-01,0.777
2015-01-01,0.52
2015-02-01,0.41600000000000004
2015-03-01,0.326
2015-04-01,0.314
2015-05-01,0.754
2015-06-01,1.054
2015-07-01,0.986
2015-08-01,0.853
2015-09-01,0.866
2015-10-01,0.725
2015-11-01,0.716
2015-12-01,0.754
2016-01-01,0.6459999999999999
2016-02-01,0.371
2016-03-01,0.32
2016-04-01,0.395
2016-05-01,0.384
2016-06-01,0.25
2016-07-01,0.062
2016-08-01,0.027000000000000003
2016-09-01,0.061
2016-10-01,0.156
2016-11-01,0.385
2016-12-01,0.436
2017-01-01,0.48100000000000004
2017-02-01,0.486
2017-03-01,0.485
2017-04-01,0.498
2017-05-01,0.589
2017-06-01,0.503
2017-07-01,0.688
2017-08-01,0.542
2017-09-01,0.532
2017-10-01,0.541
2017-11-01,0.46799999999999997
2017-12-01,0.452
2018-01-01,0.61
2018-02-01,0.76
2018-03-01,0.63
2018-04-01,0.69
2018-05-01,0.67
2018-06-01,0.57
2018-07-01,0.47
2018-08-01,0.47
2018-09-01,0.55
2018-10-01,0.58
2018-11-01,0.52
2018-12-01,0.4
2019-01-01,0.33
2019-02-01,0.24
2019-03-01,0.15
2019-04-01,0.2
2019-05-01,0.11
2019-06-01,-0.09
2019-07-01,-0.21
2019-08-01,-0.5
2019-09-01,-0.43
2019-10-01,-0.31
2019-11-01,-0.19
2019-12-01,-0.14
2020-01-01,-0.17
2020-02-01,-0.34
2020-03-01,-0.33
2020-04-01,-0.22
2020-05-01,-0.31
