gdp_growth,exports,imports,labor_costs_index,production,short_interest,date
-1.494446,-1.897846,-2.004393,2.712382,0.393700787401558,-0.17,2020-01-01
-1.8956066563736782,-1.9208693614664705,-0.3994268116780893,3.10181544100361,0.3774380609548543,-0.34,2020-02-01
-2.1428605400800644,-1.6314347700835894,1.3848629943317263,3.2746245753180547,0.1692673303049988,-0.33,2020-03-01
-2.2915972031062544,-1.3890099540306076,2.9371156131110103,3.3500998397398885,-0.05626707633053174,-0.22,2020-04-01
-2.392600299305657,-1.1731977362984618,1.817112586774783,3.2053520826265163,-0.4943070310870946,-0.31,2020-05-01
-2.4532369052040397,-0.9907799284757656,0.6097678237131039,3.0409536448597354,-0.9402579425260632,-0.34184288674490376,2020-06-01
-2.488034528423813,-0.8365081135700174,-0.6511639549186867,2.8677257417241413,-1.3914874785112692,-0.3354322063927092,2020-07-01
-2.5617852510054964,-0.7045376121078091,-0.031729712796402236,3.013295049076232,-0.5100648144124351,-0.32914174741756114,2020-08-01
-2.624948697205621,-0.5925612249817868,0.5675332605721073,3.1570817805064686,0.3692176073146801,-0.32296925527256204,2020-09-01
-2.6813351249184625,-0.4974365862819639,1.1544207818500172,3.3000675631343537,1.2473438038694105,-0.3169125176909964,2020-10-01
-2.216345345215367,-0.40283363908407227,0.9362173296759316,3.007563854887522,1.130497605266226,-0.3109693638934383,2020-11-01
-1.7485787469099192,-0.3202016956797519,0.7133539325149902,2.714898443727392,1.0140530510224322,-0.3051376638097278,2020-12-01
-1.2790346800350532,-0.24765933876654145,0.4876313892170097,2.4221603761952952,0.9067950019748166,-0.29941532731553794,2021-01-01
-0.9784749603183199,-0.2017549846013452,1.5571762332028414,2.2877960969103075,0.3914063359606883,-0.29380030348325914,2021-02-01
-0.7860837632205706,-0.17004625526021425,2.585291809983194,2.226611683797164,-0.06545932362260834,-0.2882905798469313,2021-03-01
-0.6629322885133484,-0.1433210137789535,3.6736111149536335,2.1983085277991834,-0.5227300107776155,-0.2828841816809614,2021-04-01
-0.5841018329033759,-0.12079603258063007,2.2689724698117004,2.11880864018797,-0.5959535849095872,-0.2775791712923671,2021-05-01
-0.5336416922802171,-0.10181117969013008,0.8869960666382939,2.0459471312281416,-0.6693205615710638,-0.2723736473262933,2021-06-01
-0.5013416659514732,-0.08581007247052656,-0.4810769399820033,1.9760683857545729,-0.7427365101979153,-0.2672657440845528,2021-07-01
-0.4806661052424982,-0.07232377190607144,0.07262326489742613,2.0281781913224166,-0.3561262931971753,-0.2622536308569457,2021-08-01
-0.4674314779304424,-0.06095703956569973,0.6315566309488664,2.080890185313303,0.030620946383845608,-0.2573355112651202,2021-09-01
-0.4589598643885191,-0.051376754484542465,1.1937008488398264,2.1338727553202435,0.41762464510104014,-0.2525096226187365,2021-10-01
-0.4535371022425594,-0.043302150500928026,0.9603167117241472,2.0243268399559367,0.5025048335205959,-0.2477742352837063,2021-11-01
-0.4500659395005233,-0.03649658793782252,0.7281395543230316,1.9148355511047712,0.5880196752590787,-0.24312765206227854,2021-12-01
